+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| COUNT | 1XX |  2XX  | 3XX  | 4XX | 5XX | METHOD |        URI         |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV | MIN(BODY) |  MAX(BODY)  |    SUM(BODY)    | AVG(BODY)  |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
| 42124 | 0   | 42124 | 0    | 0   | 0   | GET    | /image/\d+\.\w+    | 0.004 | 0.136 | 590.408 | 0.014 | 0.028 | 0.036 | 0.048 | 0.011  | 34642.000 | 1199282.000 | 13126121041.000 | 311606.710 |
| 2824  | 0   | 2824  | 0    | 0   | 0   | GET    | /                  | 0.016 | 0.400 | 413.597 | 0.146 | 0.220 | 0.244 | 0.296 | 0.056  | 2583.000  | 6045.000    | 9040820.000     | 3201.424   |
| 590   | 0   | 590   | 0    | 0   | 0   | GET    | /posts$            | 0.016 | 0.472 | 141.706 | 0.240 | 0.340 | 0.360 | 0.400 | 0.084  | 4965.000  | 5805.000    | 3152946.000     | 5343.976   |
| 2051  | 0   | 0     | 2051 | 0   | 0   | POST   | /login$            | 0.004 | 0.212 | 141.666 | 0.069 | 0.116 | 0.128 | 0.160 | 0.037  | 0.000     | 0.000       | 0.000           | 0.000      |
| 3510  | 0   | 3510  | 0    | 0   | 0   | GET    | /posts/\d+         | 0.004 | 0.224 | 137.544 | 0.039 | 0.068 | 0.080 | 0.100 | 0.022  | 707.000   | 1997.000    | 4515094.000     | 1286.352   |
| 632   | 0   | 632   | 0    | 0   | 0   | GET    | /@\w+              | 0.024 | 0.432 | 130.575 | 0.207 | 0.288 | 0.316 | 0.388 | 0.062  | 1567.000  | 5373.000    | 2064497.000     | 3266.609   |
| 552   | 0   | 0     | 276  | 276 | 0   | POST   | /                  | 0.004 | 0.332 | 36.538  | 0.066 | 0.184 | 0.212 | 0.260 | 0.072  | 0.000     | 0.000       | 0.000           | 0.000      |
| 354   | 0   | 0     | 354  | 0   | 0   | POST   | /register$         | 0.016 | 0.304 | 34.139  | 0.096 | 0.140 | 0.160 | 0.212 | 0.036  | 0.000     | 0.000       | 0.000           | 0.000      |
| 4380  | 0   | 4380  | 0    | 0   | 0   | GET    | /favicon.ico       | 0.000 | 0.032 | 14.656  | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 43.000    | 43.000      | 188340.000      | 43.000     |
| 4380  | 0   | 4380  | 0    | 0   | 0   | GET    | /js/timeago.min.js | 0.000 | 0.036 | 14.212  | 0.003 | 0.008 | 0.012 | 0.020 | 0.004  | 1915.000  | 1915.000    | 8387700.000     | 1915.000   |
| 4380  | 0   | 4380  | 0    | 0   | 0   | GET    | /js/main.js        | 0.000 | 0.052 | 13.867  | 0.003 | 0.008 | 0.012 | 0.020 | 0.005  | 1824.000  | 1824.000    | 7989120.000     | 1824.000   |
| 4380  | 0   | 4380  | 0    | 0   | 0   | GET    | /css/style.css     | 0.000 | 0.036 | 13.760  | 0.003 | 0.008 | 0.012 | 0.020 | 0.004  | 1549.000  | 1549.000    | 6784620.000     | 1549.000   |
| 350   | 0   | 0     | 350  | 0   | 0   | POST   | /comment           | 0.004 | 0.132 | 9.552   | 0.027 | 0.044 | 0.052 | 0.060 | 0.013  | 0.000     | 0.000       | 0.000           | 0.000      |
| 354   | 0   | 0     | 0    | 354 | 0   | GET    | /admin/banned$     | 0.000 | 0.048 | 4.380   | 0.012 | 0.024 | 0.032 | 0.044 | 0.009  | 0.000     | 0.000       | 0.000           | 0.000      |
| 530   | 0   | 530   | 0    | 0   | 0   | GET    | /login$            | 0.000 | 0.040 | 3.144   | 0.006 | 0.016 | 0.016 | 0.028 | 0.006  | 615.000   | 615.000     | 325950.000      | 615.000    |
| 265   | 0   | 0     | 265  | 0   | 0   | GET    | /logout            | 0.000 | 0.032 | 1.340   | 0.005 | 0.012 | 0.016 | 0.028 | 0.006  | 24.000    | 24.000      | 6360.000        | 24.000     |
| 3     | 0   | 3     | 0    | 0   | 0   | GET    | /initialize        | 0.316 | 0.660 | 1.320   | 0.440 | 0.660 | 0.660 | 0.660 | 0.156  | 0.000     | 0.000       | 0.000           | 0.000      |
+-------+-----+-------+------+-----+-----+--------+--------------------+-------+-------+---------+-------+-------+-------+-------+--------+-----------+-------------+-----------------+------------+
